testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectNotPresent,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit03Anoad,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit03Anoad,,
VerifyOutFit05Anoad,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit05A/noad,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectNotPresent,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit05Anoad,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit05Anoad,,
VerifyOutFit10Anoad,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit10A/noad,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectNotPresent,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit10Anoad,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit10Anoad,,
VerifyOutFit13Anoad,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit13A/noad,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectNotPresent,,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit13Anoad,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit13Anoad,,
VerifyOutFit15A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit15A,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_search,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv_search,verifyObjectSize,300x250,,
VerifyOutFit16A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit16A,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_search,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv_search,verifyObjectSize,300x250,,
VerifyOutFit17A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit17A,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_search,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv_search,verifyObjectSize,300x250,,
VerifyOutFit18A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit18A,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_search,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv_search,verifyObjectSize,300x250,,
VerifyOutFit01A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250,,
VerifyOutFit01A250_Enabled,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/1/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_1,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_1,,
VerifySponsershipLogo_Outfit1A_250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/1/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, ReTitle",
,Verify LOGO pixel,OutFitPage,SponsorshipLogo,verifySize,"(100, 36)#(100, 20)",,
,Click on Sponsership LOGO,OutFitPage,SponsorshipLogo,clickObject,,,
,Verify Sponsership URL ,OutFitPage,eleCommon,verifyTitlePresenceRedirectedPage,Google,,
VerifyOutFit01A250_Disabled,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/2/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_2,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_2,,
VerifyOutFit01A250_3,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/3,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_3,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_3,,
VerifyOutFit01A250 7 Timestamp,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/7/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_7,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_7,,
VerifyOutFit01A250_ 9 _LeadArtDisabled,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/9/,"Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_9,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_9,,
VerifyOutFit01A250_10_LeadArtEnabled,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit01A/250/10/,"OutfitsSafari, Outfits, Outfits01A, OutfitsFirefox, OutfitsChrome, OutfitsIE, OutfitsSafari, OutfitsIOSPhonePortrait, OutfitsIOSPhoneLandscape, OutfitsIOSTabletPortrait, OutfitsIOSTabletLandscape",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit01A250_10,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit01A250_10,,
